=== DEBUG LOGG FÖR MATCH ===
Antal spelare: 4
Startfärg: GREEN
----------------------------

Tur 0 | Player 1 drog BLUE ZERO
Tur 1 | Player 2 drog GREEN NINE
Tur 1 | Player 2 passade
Tur 2 | Player 3 drog YELLOW SIX
Tur 2 | Player 3 passade
Tur 3 | Player 4 drog BLUE SKIP
Tur 4 | Player 1 drog GREEN SKIP
Tur 4 | Player 1 passade
Tur 5 | Player 2 drog GREEN FOUR
Tur 5 | Player 2 passade
Tur 6 | Player 3 drog YELLOW REVERSE
Tur 7 | Player 4 drog WILD WILD_DRAW_FOUR
Tur 7 | Player 4 passade
Tur 8 | Player 1 drog RED EIGHT
Tur 9 | Player 2 drog RED FOUR
Tur 10 | Player 3 drog BLUE EIGHT
Tur 11 | Player 4 drog YELLOW THREE
Tur 12 | Player 1 drog YELLOW FIVE
Tur 13 | Player 2 drog BLUE FOUR
Tur 14 | Player 3 drog GREEN REVERSE
Tur 14 | Player 3 passade
Tur 15 | Player 4 drog RED SEVEN
Tur 16 | Player 1 drog GREEN SEVEN
Tur 16 | Player 1 passade
Tur 17 | Player 2 drog RED TWO
Tur 18 | Player 3 drog RED SKIP
Tur 19 | Player 4 drog RED DRAW_TWO
Tur 20 | Player 1 drog BLUE SIX
Tur 20 | Player 1 passade
Tur 21 | Player 2 drog YELLOW NINE
Tur 22 | Player 3 drog RED THREE
Tur 23 | Player 4 drog GREEN SEVEN
Tur 23 | Player 4 passade
Tur 24 | Player 1 drog GREEN FIVE
Tur 24 | Player 1 passade
Tur 25 | Player 2 drog GREEN DRAW_TWO
Tur 25 | Player 2 passade
Tur 26 | Player 3 drog BLUE ONE
Tur 27 | Player 4 drog GREEN ZERO
Tur 27 | Player 4 passade
Tur 28 | Player 1 drog RED REVERSE
Tur 29 | Player 2 drog BLUE EIGHT
Tur 30 | Player 3 drog BLUE DRAW_TWO
Tur 31 | Player 4 drog BLUE FOUR
Tur 32 | Player 1 drog YELLOW DRAW_TWO
Tur 33 | Player 2 drog GREEN EIGHT
Tur 33 | Player 2 passade
Tur 34 | Player 3 drog WILD WILD_DRAW_FOUR
Tur 34 | Player 3 passade
Tur 35 | Player 4 drog RED NINE
Tur 36 | Player 1 drog YELLOW DRAW_TWO
Tur 37 | Player 2 drog RED SKIP
Tur 38 | Player 3 drog RED SIX
Tur 38 | Player 3 passade
Tur 39 | Player 4 drog WILD WILD_DRAW_FOUR
Tur 39 | Player 4 passade
Tur 40 | Player 1 drog GREEN SKIP
Tur 40 | Player 1 passade
Tur 41 | Player 2 drog RED EIGHT
Tur 42 | Player 3 drog BLUE NINE
Tur 43 | Player 4 drog BLUE TWO
Tur 44 | Player 1 drog BLUE TWO
Tur 45 | Player 2 drog GREEN THREE
Tur 45 | Player 2 passade
Tur 46 | Player 3 drog GREEN EIGHT
Tur 46 | Player 3 passade
Tur 47 | Player 4 drog BLUE ONE
Tur 48 | Player 1 drog BLUE SEVEN
Tur 49 | Player 2 drog YELLOW ONE
Tur 50 | Player 3 drog WILD WILD
Tur 50 | Player 3 passade
Tur 51 | Player 4 drog BLUE SIX
Tur 51 | Player 4 passade
Tur 52 | Player 1 drog RED REVERSE
Tur 53 | Player 2 drog BLUE REVERSE
Tur 54 | Player 3 drog RED DRAW_TWO
Tur 55 | Player 4 drog WILD WILD
Tur 55 | Player 4 passade
Tur 56 | Player 1 drog GREEN SIX
Tur 56 | Player 1 passade
Tur 57 | Player 2 drog GREEN FOUR
Tur 57 | Player 2 passade
Tur 58 | Player 3 drog YELLOW SKIP
Tur 59 | Player 4 drog BLUE REVERSE
Tur 60 | Player 1 drog YELLOW FOUR
Tur 61 | Player 2 drog YELLOW SKIP
Tur 62 | Player 3 drog WILD WILD_DRAW_FOUR
Tur 62 | Player 3 passade
